complaint_text,officer,priority,eta_days
Residents are complaining that waste not collected before festival season on 5th and Broadway — piling up on roads for the past 3 days.,Sanitation Officer,High,1
This is a serious issue — trash truck not arriving near the railway crossing for the past 3 days — 10+ days of accumulated waste on street.,Sanitation Officer,High,3
Stormwater drain blocked on Cedar Road — entire road flooded every time it rains for the past 2 days.,Drainage Officer,High,3
Stormwater drain blocked on the highway service road — entire road flooded every time it rains for the past month.,Drainage Officer,High,3
Bulk garbage items like old furniture dumped in the residential colony — blocking the footpath since the rain last week.,Sanitation Officer,Medium,4
"As a resident, I urge you to address the fact that open lot on Elm Street being used for illegal waste dumping since this morning.",Sanitation Officer,Medium,5
Rain water from highway on MG Road not draining — entering residential plots since the rain last week.,Drainage Officer,High,2
Basement flooding in in the downtown area area due to blocked drainage since last Monday.,Drainage Officer,High,1
We have noticed that frozen pipe suspected near the vegetable market — no water flow in the entire building since the rain last week.,Water Officer,High,1
This is a serious issue — open lot on 5th and Broadway being used for illegal garbage dumping for the past month.,Sanitation Officer,Medium,5
Please take immediate action — manhole overflowing with sewage near the bus depot since yesterday — unbearable smell and hygiene risk.,Drainage Officer,High,1
I wanted to bring to your attention that expressway pothole on 5th and Broad stretchway is very deep — tyres of vehicles get damaged daily.,Road Officer,High,5
The situation is getting worse — expressway pothole near the playground is very deep — tyres of vehicles get broken daily.,Road Officer,High,5
Road divider deteriorated near the main market — risk of vehicles crossing into oncoming traffic for several days.,Road Officer,High,4
Stormwater drain blocked near the hospital — entire road flooded every time it rains for over a week.,Drainage Officer,High,3
Illegal dumping of construction waste noticed near the flyover for the past month — blocking pedestrian path.,Sanitation Officer,Medium,4
Open drain in the downtown area overflowing for the past 3 days — sewage water entering homes.,Drainage Officer,High,2
Foul odor from sewerage on Cedar Road is affecting entire neighbourhood for the last 4 days.,Drainage Officer,Medium,4
I would like to report that underground water water line leaking near on Park Lane — road surface getting soft and dangerous.,Water Officer,High,1
Several complaints have been raised about this — water pressure is very low in Sector 12 — water barely reaches upper floors for the past 3 days.,Water Officer,Medium,4
This problem has been ignored for too long — foul odor from stormwater line in Sector 4 is affecting entire neighbourhood for the last 4 days.,Drainage Officer,Medium,4
The street light at the intersection on Station Road has been out since yesterday — very unsafe at night.,Electrical Officer,Medium,5
I wanted to bring to your attention that no water supply in our area on Park Lane for 10 days now — taps are completely dry.,Water Officer,High,2
Multiple potholes on the main arterial road near the school causing traffic slowdown for the last 4 days.,Road Officer,Medium,9
Foul smell from garbage near the flyover — unbearable for residents nearby since yesterday.,Sanitation Officer,High,3
Water pressure is very low near the main market — water barely reaches upper floors for several days.,Water Officer,Medium,4
Garbage bins at near the vegetable market not disinfected — spreading disease risk since yesterday.,Sanitation Officer,High,2
Residents are complaining that stormwater drain blocked near the railway crossing — entire road flooded every time it rains for several days.,Drainage Officer,High,3
I wanted to bring to your attention that road divider damaged on Station Road — risk of vehicles crossing into oncoming traffic for over a week.,Road Officer,High,4
Multiple families are affected as missing signal head at near the hospital junction — drivers confused about right of way for 10 days now.,Electrical Officer,High,2
The sodium light at the intersection on MG Road has been out for the past 3 days — very unsafe at night.,Electrical Officer,Medium,5
Please take immediate action — commercial waste being mixed with residential garbage near the temple for several days.,Sanitation Officer,Medium,4
Severe road damage near school zone on Elm Street — children safety at risk for several days.,Road Officer,High,4
Stormwater drain blocked on Oak Avenue — entire road flooded every time it rains for over a week.,Drainage Officer,High,2
The situation is getting worse — there is a major conduit burst near the vegetable market and water is gushing onto the road for the past 3 days.,Water Officer,High,2
Traffic signal at in Sector 4 is not working — causing major traffic confusion since last night.,Electrical Officer,High,1
The situation is getting worse — water pipes appear to have a crack in the residential colony — water seeping into the ground for 10 days now.,Water Officer,Medium,3
Road divider worn out near the playground — risk of vehicles crossing into oncoming traffic since the rain last week.,Road Officer,High,5
Residents are complaining that illegal connection to main stormwater line near near the temple causing backup for residents since the rain last week.,Drainage Officer,Medium,5
I would like to report that dim and flickering street lights in Ward 7 make the road hazardous at night for over a week.,Electrical Officer,Medium,6
Foul odor from sewer near the railway crossing is affecting entire neighbourhood since last Monday.,Drainage Officer,Medium,4
Open drain near the main market overflowing since last Monday — effluent water entering homes.,Drainage Officer,High,1
We have noticed that street light pole knocked down in the old city area — posing risk to passing traffic for the past 2 days.,Electrical Officer,High,2
Road markings completely faded in Block C of the housing society — causing confusion especially at night for the past month.,Road Officer,Low,14
Please take immediate action — intermittent water supply near the flyover — water comes for only 30 minutes a day for the last 4 days.,Water Officer,Medium,4
Several complaints have been raised about this — pump house near the temple is not functioning properly — municipal water affected since last night.,Water Officer,Medium,4
Rain water from highway near the railway crossing not draining — entering residential plots for the past month.,Drainage Officer,High,3
Manhole overflowing with effluent near the flyover since last Monday — unbearable smell and hygiene risk.,Drainage Officer,High,2
Road collapse due to waterlogging near the vegetable market — several vehicles got stuck for the past 2 days.,Road Officer,High,5
This is a serious issue — tap water tastes foul and has a strange odor on Park Lane for several days.,Water Officer,High,1
High voltage buzzing sound from distribution transformer on Elm Street for the past 2 days — people are afraid.,Electrical Officer,High,2
"As a resident, I urge you to address the fact that sewage water mixing with drinking water flow on Maple Street — serious health risk for the past 2 days.",Water Officer,High,1
The situation is getting worse — the street light at the intersection near the playground has been out for the past 2 days — very unsafe at night.,Electrical Officer,Medium,5
Multiple families are affected as garbage bins at near the playground not disinfected — spreading disease risk for the past 2 days.,Sanitation Officer,High,3
I wanted to bring to your attention that underground cable fault near the vegetable market causing power fluctuations for the past month.,Electrical Officer,Medium,4
Drain cover missing near the playground — open sewerage gutter accessible to pedestrians since last Monday.,Drainage Officer,High,2
The situation is getting worse — tap water tastes foul and has a strange odor near the school for over a week.,Water Officer,High,2
Tap water tastes foul and has a strange odor on Oak Avenue since the rain last week.,Water Officer,High,1
Multiple potholes on the main arterial road stretch in Sector 4 causing traffic slowdown since the rain last week.,Road Officer,Medium,9
There is no hot water supply in the building near the vegetable market since last Monday.,Water Officer,Medium,4
Alley behind houses in Block C of the housing society filled with refuse — breeding ground for mosquitoes since the rain last week.,Sanitation Officer,High,2
We have noticed that traffic signal at in Ward 7 is not working — causing major traffic confusion since yesterday.,Electrical Officer,High,2
"Kindly send someone to fix this, alley behind houses on Elm Street filled with garbage — breeding ground for mosquitoes since this morning.",Sanitation Officer,High,2
The situation is getting worse — electrical meter board at near the playground appears to have faulty wiring — sparks visible.,Electrical Officer,High,2
Traffic signal at near the bus depot is not working — causing major traffic confusion since last Monday.,Electrical Officer,High,1
"As a resident, I urge you to address the fact that power supply interruption affecting hospitals and essential services on Maple Street since this morning.",Electrical Officer,High,1
Manhole overflowing with grey water in Ward 7 for the past month — unbearable smell and hygiene risk.,Drainage Officer,High,2
Drainage infrastructure on Oak Avenue is old and collapsed — requires full replacement.,Drainage Officer,Low,7
Litter basket cover broken at near the temple — waste exposed to rain and pests since last Monday.,Sanitation Officer,Medium,5
Please look into this urgently — there is no hot water supply in the building on Station Road since this morning.,Water Officer,Medium,4
Pooling water after rain on 5th and Broadway — drain is clearly insufficient for rainfall volume.,Drainage Officer,Medium,4
Residents are complaining that stormwater drain blocked near the bus depot — entire road inundated every time it rains since the rain last week.,Drainage Officer,High,2
Please look into this urgently — multiple potholes on the main arterial road on Park Lane causing traffic slowdown for the past 2 days.,Road Officer,Medium,8
Residents are complaining that high voltage buzzing sound from transformer in Ward 7 for the last 4 days — people are afraid.,Electrical Officer,High,1
Expressway pothole on 5th and Broadway is very deep — tyres of vehicles get damaged daily.,Road Officer,High,6
Frozen pipe suspected on 5th and Broadway — no water flow in the entire building for the past month.,Water Officer,High,2
Water pressure is very low near the hospital — water barely reaches upper floors for the past 2 days.,Water Officer,Medium,4
We have noticed that lane collapse due to waterlogging on Elm Street — several vehicles got stuck since the rain last week.,Road Officer,High,4
Dead animal carcass lying in Ward 7 since last Monday — causing foul smell and health concern.,Sanitation Officer,High,1
No water supply in our area near the vegetable market since this morning — taps are completely dry.,Water Officer,High,2
Alley behind houses near the railway crossing filled with garbage — breeding ground for mosquitoes for over a week.,Sanitation Officer,High,2
Frequent power cuts happening in Sector 4 since yesterday — load shedding with no prior notice.,Electrical Officer,Medium,4
Alley behind houses near the flyover filled with litter — breeding ground for mosquitoes for the past 3 days.,Sanitation Officer,High,2
I wanted to bring to your attention that water pipes appear to have a crack in the downtown area — water seeping into the ground for several days.,Water Officer,Medium,3
Civic contractor skipping collection in near the railway crossing area since last night — residents fed up.,Sanitation Officer,Medium,4
Multiple families are affected as there is no hot water supply in the building on Elm Street since the rain last week.,Water Officer,Medium,4
I would like to report that electric wire hanging low over the road in the downtown area since the rain last week — serious safety hazard.,Electrical Officer,High,2
Pothole on the highway on Oak Avenue caused a vehicle to lose control for over a week.,Road Officer,High,5
Litter basket in Sector 12 is overflowing — no collection in days for over a week.,Sanitation Officer,Medium,4
"Kindly send someone to fix this, children falling into open drainage pit in Sector 12 — emergency cover needed since last night.",Drainage Officer,High,2
This is a serious issue — gutter on Oak Avenue choked with debris — overflow during monsoon causing road damage for over a week.,Drainage Officer,Medium,4
This problem has been ignored for too long — intermittent water supply on Station Road — water comes for only 30 minutes a day since this morning.,Water Officer,Medium,4
Highway onramp on MG Road has surface cracking — dangerous for heavy vehicles for the past month.,Road Officer,High,5
"As a resident, I urge you to address the fact that dirty brown water is coming from the taps near the playground for the past 3 days — not safe to drink.",Water Officer,High,1
"Kindly send someone to fix this, road has completely caved in near the school — one lane blocked for 10 days now.",Road Officer,High,4
Frozen pipe suspected near the bus depot — no water flow in the entire building since last night.,Water Officer,High,2
Drinking water supplied near the main market appears discolored with visible sediment since last night.,Water Officer,High,2
Our locality has been suffering because high voltage buzzing sound from substation unit near the main market since yesterday — people are afraid.,Electrical Officer,High,2
Underground water pipe seeping near on Maple Street — road surface getting soft and dangerous.,Water Officer,High,1
Water is leaking from the main water lineline near the temple and flooding the road since last night.,Water Officer,High,2
Dirty brown water is coming from the taps on the highway service road since last night — not safe to drink.,Water Officer,High,2
"As a resident, I urge you to address the fact that road collapse due to waterlogging in the residential colony — several vehicles got stuck for 10 days now.",Road Officer,High,4
"As a resident, I urge you to address the fact that highway onramp in the downtown area has surface cracking — life-threatening for heavy vehicles since the rain last week.",Road Officer,High,6
Foul smell from garbage on the highway service road — unbearable for residents nearby for the last 4 days.,Sanitation Officer,High,3
I am writing to inform you that unauthorized electrical connection spotted at on Cedar Road — risk of overloading.,Electrical Officer,Medium,5
Road collapse due to waterlogging on MG Road — several vehicles got stuck since last Monday.,Road Officer,High,4
Please take immediate action — multiple street lights are not working near the main market for the past 2 days — area is completely dark after 8 PM.,Electrical Officer,Medium,4
Sidewalk on Park Lane is cracked and uneven — elderly person tripped there recently.,Road Officer,Medium,9
Street light is on during the day and off at night on Maple Street — sensor malfunction.,Electrical Officer,Low,7
Transformer on MG Road is sparking and making loud noises — several houses lost power for the last 4 days.,Electrical Officer,High,2
Drinking water supplied near the school appears discolored with visible sediment for the past 3 days.,Water Officer,High,2
Multiple families are affected as expressway crater in Block C of the housing society is very deep — tyres of vehicles get damaged daily.,Road Officer,High,5
Waste not collected before festival season on Station Road — piling up on roads since last Monday.,Sanitation Officer,High,1
Road surface badly damaged near the vegetable market — rough patches causing damage to vehicles since last Monday.,Road Officer,Medium,9
Waste not collected before festival season near the main market — piling up on roads for 10 days now.,Sanitation Officer,High,1
Illegal connection to main sewer near on Oak Avenue causing backup for residents since the rain last week.,Drainage Officer,Medium,5
Electrical meter board at on Station Road appears to have faulty wiring — sparks visible.,Electrical Officer,High,2
Commercial waste being mixed with residential trash on Maple Street for over a week.,Sanitation Officer,Medium,4
There is no hot municipal water in the building near the vegetable market since the rain last week.,Water Officer,Medium,4
Water main failed on Station Road causing the entire block to lose water supply for over a week.,Water Officer,High,1
Footpath near the flyover is completely blocked by debris and encroachment for 10 days now.,Road Officer,Medium,9
Road divider damaged on MG Road — risk of vehicles crossing into oncoming traffic since yesterday.,Road Officer,High,4
Waterlogging reported in the downtown area every monsoon — permanent drainage solution needed.,Drainage Officer,Medium,6
Foul odor from sewer in the residential colony is affecting entire neighbourhood since last night.,Drainage Officer,Medium,4
The situation is getting worse — road surface badly damaged in Ward 7 — rough patches causing damage to vehicles since yesterday.,Road Officer,Medium,10
Guardrail on the highway on Cedar Road is broken — vehicles at risk of going off avenue for 10 days now.,Road Officer,High,5
The situation is getting worse — frozen pipe suspected on Station Road — no water flow in the entire building for the last 4 days.,Water Officer,High,2
No water supply in our area near the flyover since last Monday — taps are completely dry.,Water Officer,High,1
Road collapse due to waterlogging near the vegetable market — several vehicles got stuck for several days.,Road Officer,High,4
Children falling into open drainage pit in Ward 7 — emergency cover needed for 10 days now.,Drainage Officer,High,1
Transformer on the highway service road is flashing and making loud noises — several houses lost power since yesterday.,Electrical Officer,High,2
This problem has been ignored for too long — sewage pipe burst near the school — raw sewage flowing on road surface for the past 3 days.,Drainage Officer,High,1
This problem has been ignored for too long — sewage water mixing with drinking water flow on Park Lane — serious health risk since last night.,Water Officer,High,2
Residents are complaining that catch basin in Block C of the housing society completely clogged — street flooded knee-deep after last night rain.,Drainage Officer,High,2
Please take immediate action — water main broke near the railway crossing causing the entire block to lose water flow for over a week.,Water Officer,High,2
Litter basket cover broken at near the hospital — waste exposed to rain and pests for the past 3 days.,Sanitation Officer,Medium,5
The situation is getting worse — drainage infrastructure on the highway service road is old and collapsed — requires full replacement.,Drainage Officer,Low,6
The situation is getting worse — pooling water after rain on Station Road — drain is clearly insufficient for rainfall volume.,Drainage Officer,Medium,4
The situation is getting worse — there is no hot water flow in the building near the temple for the last 4 days.,Water Officer,Medium,4
Our locality has been suffering because power supply interruption affecting hospitals and essential services near the hospital for the past 3 days.,Electrical Officer,High,2
This problem has been ignored for too long — foul odor from sewer near the main market is affecting entire neighbourhood for the past 3 days.,Drainage Officer,Medium,4
This is a serious issue — alley behind houses in Block C of the housing society filled with garbage — breeding ground for mosquitoes since this morning.,Sanitation Officer,High,3
Electricity pole tilting dangerously in the downtown area for over a week — risk of falling on pedestrians.,Electrical Officer,High,2
Litter basket cover broken at near the railway crossing — waste exposed to rain and pests for the past 2 days.,Sanitation Officer,Medium,5
We have noticed that dirty brown water is coming from the taps on the highway service road since last night — not safe to drink.,Water Officer,High,1
Electric wire hanging low over the road on Oak Avenue since last Monday — serious safety hazard.,Electrical Officer,High,1
Please take immediate action — rain water from highway near the hospital not draining — entering residential plots for the past 3 days.,Drainage Officer,High,2
Pothole on the highway on Oak Avenue caused a vehicle to lose control since this morning.,Road Officer,High,5
Please take immediate action — construction debris left on road on Maple Street not cleared by contractor for the last 4 days.,Road Officer,Medium,9
I would like to report that litter basket cover broken at near the playground — waste exposed to rain and pests since last night.,Sanitation Officer,Medium,5
Several complaints have been raised about this — illegal dumping of construction waste noticed near the railway crossing since last night — blocking pedestrian path.,Sanitation Officer,Medium,4
Garbage bins at in Sector 12 not disinfected — spreading disease risk since yesterday.,Sanitation Officer,High,3
Several complaints have been raised about this — open drain near the school overflowing for the past 3 days — sewage water entering homes.,Drainage Officer,High,2
"Kindly send someone to fix this, litter basket cover broken at near the temple — waste exposed to rain and pests for the last 4 days.",Sanitation Officer,Medium,5
I am writing to inform you that stench from garbage near the hospital — unbearable for residents nearby for 10 days now.,Sanitation Officer,High,3
"As a resident, I urge you to address the fact that power supply interruption affecting hospitals and essential services on MG Road for the past 2 days.",Electrical Officer,High,1
I would like to report that construction debris left on road in the downtown area not cleared by contractor for several days.,Road Officer,Medium,9
Drain cover missing in Sector 4 — open drainage pipe gutter accessible to pedestrians for the past month.,Drainage Officer,High,2
Drain cover missing in Block C of the housing society — open sewer gutter accessible to pedestrians for 10 days now.,Drainage Officer,High,2
Residents are complaining that litter basket cover broken at in the downtown area — waste exposed to rain and pests for several days.,Sanitation Officer,Medium,5
Intermittent water flow in the old city area — water comes for only 30 minutes a day since yesterday.,Water Officer,Medium,4
Footpath on 5th and Broadway is completely blocked by debris and encroachment for the past 2 days.,Road Officer,Medium,10
Our locality has been suffering because signal timing at on Maple Street is off — green light too short causing congestion since this morning.,Electrical Officer,Medium,6
We have noticed that sewage water mixing with drinking water supply in the residential colony — serious health risk for the past 3 days.,Water Officer,High,1
Tap water tastes foul and has a strange odor on Park Lane for the past 3 days.,Water Officer,High,2
Bulk garbage items like old furniture dumped in Ward 7 — blocking the footpath for 10 days now.,Sanitation Officer,Medium,4
Intermittent water supply near the hospital — water comes for only 30 minutes a day since the rain last week.,Water Officer,Medium,4
Highway onramp in Ward 7 has surface cracking — hazardous for heavy vehicles since last Monday.,Road Officer,High,5
Electricity pole tilting dangerously in Ward 7 for several days — risk of falling on pedestrians.,Electrical Officer,High,1
Civic contractor skipping collection in on MG Road area for the past month — residents fed up.,Sanitation Officer,Medium,4
Our locality has been suffering because severe road damage near school zone near the bus depot — children safety at risk since yesterday.,Road Officer,High,5
Dead animal carcass lying on Station Road since last Monday — causing bad odor and health concern.,Sanitation Officer,High,1
This problem has been ignored for too long — water is leaking from the main pipeline on MG Road and flooding the road for 10 days now.,Water Officer,High,2
Multiple families are affected as footpath in the downtown area is completely blocked by debris and encroachment for 10 days now.,Road Officer,Medium,9
Dirty brown water is coming from the taps in the residential colony for the last 4 days — not safe to drink.,Water Officer,High,2
Several complaints have been raised about this — multiple potholes on the main arterial road in the residential colony causing traffic slowdown for the past month.,Road Officer,Medium,9
I am writing to inform you that foul odor from sewer on MG Road is affecting entire neighbourhood for several days.,Drainage Officer,Medium,4
Road markings completely faded on the highway service road — causing confusion especially at night for the past 3 days.,Road Officer,Low,15
Please take immediate action — construction waste from site near the temple not removed by contractor for the last 4 days.,Sanitation Officer,Medium,5
Electricity pole tilting dangerously near the playground for the last 4 days — risk of falling on pedestrians.,Electrical Officer,High,1
Water conduits appear to have a crack near the main market — water seeping into the ground for several days.,Water Officer,Medium,3
We have noticed that avenue surface badly damaged on 5th and Broadway — rough patches causing damage to vehicles for several days.,Road Officer,Medium,9
The overhead water tank at on MG Road is overflowing and wasting water for over a week.,Water Officer,Low,5
Please take immediate action — tap water tastes foul and has a strange odor on the highway service road for the last 4 days.,Water Officer,High,2
Multiple families are affected as broken electric meter box near the hospital exposed to rain — shock risk since yesterday.,Electrical Officer,High,1
Garbage not collected from our residential block near the flyover for the past 2 days — health hazard.,Sanitation Officer,High,2
There is no hot water connection in the building in the residential colony for the past month.,Water Officer,Medium,4
Please look into this urgently — pooling water after rain on the highway service road — drain is clearly insufficient for rainfall volume.,Drainage Officer,Medium,4
I wanted to bring to your attention that multiple street lights are malfunctioning near the flyover for several days — area is completely dark after 8 PM.,Electrical Officer,Medium,4
Construction debris left on road in the downtown area not cleared by contractor for 10 days now.,Road Officer,Medium,8
Please look into this urgently — road has completely caved in in Sector 4 — one lane blocked since yesterday.,Road Officer,High,4
Several complaints have been raised about this — electric wire hanging low over the road on the highway service road for the last 4 days — serious safety hazard.,Electrical Officer,High,2
The situation is getting worse — dirty brown water is coming from the taps in Sector 4 since last night — not safe to drink.,Water Officer,High,2
I would like to report that highway onramp near the vegetable market has surface cracking — dangerous for heavy vehicles since this morning.,Road Officer,High,5
Residents are complaining that catch basin near the playground completely clogged — street flooded knee-deep after last night rain.,Drainage Officer,High,1
This problem has been ignored for too long — severe road damage near school zone in Block C of the housing society — children safety at risk since last night.,Road Officer,High,5
Please take immediate action — manhole overrunning with sewage on Cedar Road since this morning — unbearable smell and hygiene risk.,Drainage Officer,High,2
Illegal connection to main sewer near near the vegetable market causing backup for residents since this morning.,Drainage Officer,Medium,5
There is no hot municipal water in the building on Park Lane for the past 2 days.,Water Officer,Medium,4
Water is leaking from the main pipeline near the railway crossing and flooding the road for 10 days now.,Water Officer,High,2
The situation is getting worse — street divider damaged on Station Road — risk of vehicles crossing into oncoming traffic for the last 4 days.,Road Officer,High,4
Road has completely caved in in Sector 4 — one lane blocked for the past 2 days.,Road Officer,High,5
Expressway pothole on 5th and Broadway is very deep — tyres of vehicles get damaged daily.,Road Officer,High,5
I wanted to bring to your attention that no water supply in our area on Maple Street since yesterday — taps are completely dry.,Water Officer,High,2
I wanted to bring to your attention that effluent pipe burst on Cedar Road — raw sewage flowing on road surface since the rain last week.,Drainage Officer,High,2
We have noticed that water is leaking from the main pipeline near the school and waterlogging the road since last night.,Water Officer,High,1
Road markings completely faded near the main market — causing confusion especially at night for 10 days now.,Road Officer,Low,15
Several complaints have been raised about this — waste not collected before festival season on Oak Avenue — piling up on roads for the past 3 days.,Sanitation Officer,High,1
Our locality has been suffering because electrical meter board at near the vegetable market appears to have faulty wiring — sparks visible.,Electrical Officer,High,1
I am writing to inform you that footpath in the downtown area is completely blocked by debris and encroachment for 10 days now.,Road Officer,Medium,11
We have noticed that underground water water line leaking near near the bus depot — road surface getting soft and dangerous.,Water Officer,High,1
This is a serious issue — water meter at near the hospital is broken and possibly causing billing errors.,Water Officer,Low,6
Missing signal head at near the temple junction — drivers confused about right of way for several days.,Electrical Officer,High,2
Water pipelines appear to have a crack near the flyover — water seeping into the ground since yesterday.,Water Officer,Medium,3
We have noticed that litter basket near the temple is overflowing — no collection in days since yesterday.,Sanitation Officer,Medium,4
Drinking water supplied on MG Road appears discolored with visible sediment for 10 days now.,Water Officer,High,2
Several complaints have been raised about this — transformer on the highway service road is sparking and making loud noises — several houses lost power since the rain last week.,Electrical Officer,High,3
Children falling into open drainage pit on Station Road — emergency cover needed for the last 4 days.,Drainage Officer,High,2
Road surface badly damaged in Ward 7 — rough patches causing damage to vehicles for several days.,Road Officer,Medium,10
I wanted to bring to your attention that civic contractor skipping collection in near the hospital area since the rain last week — residents fed up.,Sanitation Officer,Medium,4
This problem has been ignored for too long — rain water from highway near the playground not draining — entering residential plots for the past 3 days.,Drainage Officer,High,3
I wanted to bring to your attention that drainage infrastructure in Block C of the housing society is old and collapsed — requires full replacement.,Drainage Officer,Low,7
We have noticed that missing signal head at near the hospital junction — drivers confused about right of way for several days.,Electrical Officer,High,2
Open lot near the vegetable market being used for illegal garbage dumping for over a week.,Sanitation Officer,Medium,5
Sewage pipe burst in Sector 4 — raw wastewater flowing on road surface since last Monday.,Drainage Officer,High,2
Footpath on MG Road is completely blocked by debris and encroachment for the past month.,Road Officer,Medium,10
Catch basin near the school completely clogged — street flooded knee-deep after last night rain.,Drainage Officer,High,2
Damaged road near the railway crossing has not been repaired despite multiple complaints for over a week.,Road Officer,Medium,13
I would like to report that damaged road near the vegetable market has not been repaired despite multiple complaints for 10 days now.,Road Officer,Medium,11
Overflowing garbage bins on Station Road for over a week — waste spilling onto the road and footpath.,Sanitation Officer,High,2
Several complaints have been raised about this — electric wire hanging low over the road on 5th and Broadway for the past 2 days — serious safety hazard.,Electrical Officer,High,1
I wanted to bring to your attention that waste not collected before festival season near the main market — piling up on roads for the past month.,Sanitation Officer,High,2
Commercial waste being mixed with residential garbage on Cedar Road for several days.,Sanitation Officer,Medium,4
Missing signal head at near the vegetable market junction — drivers confused about right of way since yesterday.,Electrical Officer,High,2
Please look into this urgently — unauthorized electrical connection spotted at near the playground — risk of overloading.,Electrical Officer,Medium,5
Please look into this urgently — multiple street lights are not working on MG Road since last night — area is completely dark after 8 PM.,Electrical Officer,Medium,4
Several complaints have been raised about this — intermittent water supply in the downtown area — water comes for only 30 minutes a day since last night.,Water Officer,Medium,4
This problem has been ignored for too long — frequent power cuts happening on Elm Street for the past 3 days — load shedding with no prior notice.,Electrical Officer,Medium,4
Please look into this urgently — electricity pole tilting dangerously in the residential colony since the rain last week — risk of falling on pedestrians.,Electrical Officer,High,2
We have noticed that construction waste from site in the downtown area not removed by contractor for the past month.,Sanitation Officer,Medium,5
Children falling into open drainage pit near the school — emergency cover needed for over a week.,Drainage Officer,High,1
Street light pole knocked down in the residential colony — posing risk to passing traffic since this morning.,Electrical Officer,High,2
Catch basin at on Cedar Road requires repairing — broken cover creating fall hazard.,Drainage Officer,Medium,5
Foul smell from garbage in the old city area — unbearable for residents nearby since the rain last week.,Sanitation Officer,High,3
I am writing to inform you that footpath tiles broken and uneven on Park Lane — causing falls especially in rainy season.,Road Officer,Low,14
Street light is on during the day and off at night on Station Road — sensor malfunction.,Electrical Officer,Medium,6
Bulk garbage items like old furniture dumped in the downtown area — blocking the footpath for 10 days now.,Sanitation Officer,Medium,4
The situation is getting worse — open lot on Maple Street being used for illegal garbage dumping for the past 2 days.,Sanitation Officer,Medium,5
The situation is getting worse — power outage affecting entire neighbourhood in Sector 4 for over a week — no electricity at all.,Electrical Officer,High,2
I wanted to bring to your attention that water main broke near the railway crossing causing the entire block to lose water supply for the past 2 days.,Water Officer,High,2
Bulk trash items like old furniture dumped near the playground — blocking the footpath for the past 3 days.,Sanitation Officer,Medium,4
Residents are complaining that street light is on during the day and off at night near the bus depot — sensor malfunction.,Electrical Officer,Low,6
We have noticed that basement flooding in on Park Lane area due to blocked drainage since last night.,Drainage Officer,High,2
Residents are complaining that expressway pothole on 5th and Broadway is very deep — tyres of vehicles get damaged daily.,Road Officer,High,5
Please look into this urgently — there is a major main line burst in Ward 7 and water is gushing onto the road since last Monday.,Water Officer,High,2
Water connection was illegally disconnected on 5th and Broadway — residents have no water for the past 3 days.,Water Officer,High,2
Frozen pipe suspected in the downtown area — no water flow in the entire building for several days.,Water Officer,High,1
Traffic signal at on Elm Street is not working — causing major traffic confusion for 10 days now.,Electrical Officer,High,2
Garbage bins at on Cedar Road not disinfected — spreading disease risk since this morning.,Sanitation Officer,High,2
This problem has been ignored for too long — electrical meter board at near the bus depot appears to have faulty wiring — sparks visible.,Electrical Officer,High,2
I wanted to bring to your attention that no street lights installed on the new road on Elm Street — dangerous after dark.,Electrical Officer,Medium,6
I wanted to bring to your attention that garbage bins at in Sector 4 not disinfected — spreading disease risk since last Monday.,Sanitation Officer,High,3
Residents are complaining that tap water tastes foul and has a strange odor in Sector 4 since this morning.,Water Officer,High,1
Highway onramp on Maple Street has surface cracking — dangerous for heavy vehicles since last Monday.,Road Officer,High,5
Water pressure is very low on the highway service road — water barely reaches upper floors for the past month.,Water Officer,Medium,4
Raised speed breaker in the old city area is not painted — invisible at night and causing accidents.,Road Officer,High,5
Dead animal carcass lying in the residential colony for the last 4 days — causing unbearable smell and health concern.,Sanitation Officer,High,1
Road markings completely faded on the highway service road — causing confusion especially at night for the past 2 days.,Road Officer,Low,15
Catch basin near the vegetable market completely clogged — street flooded knee-deep after last night rain.,Drainage Officer,High,1
This is a serious issue — manhole cover missing on in Sector 4 — open pit is extremely dangerous for pedestrians since yesterday.,Road Officer,High,5
Garbage not collected from our residential block in Ward 7 for several days — health hazard.,Sanitation Officer,High,2
Electric wire hanging low over the road on Station Road since the rain last week — serious safety hazard.,Electrical Officer,High,2
Sewage backup in residential area in Sector 12 — water coming up from floor drains since yesterday.,Drainage Officer,High,1
Raised speed breaker on Park Lane is not painted — invisible at night and causing accidents.,Road Officer,High,6
The street light at the intersection near the temple has been out for the last 4 days — very unsafe at night.,Electrical Officer,Medium,5
"As a resident, I urge you to address the fact that illegal dumping of construction waste noticed in the residential colony for over a week — blocking pedestrian path.",Sanitation Officer,Medium,4
Multiple street lights are not working on MG Road since this morning — area is completely dark after 8 PM.,Electrical Officer,Medium,4
Water connection was illegally disconnected on Oak Avenue — residents have no water for 10 days now.,Water Officer,High,2
"Kindly send someone to fix this, electric wire hanging low over the road on MG Road for 10 days now — serious safety hazard.",Electrical Officer,High,1
Our locality has been suffering because dim and flickering street lights on Cedar Road make the road hazardous at night for the past month.,Electrical Officer,Medium,6
Litter basket in the old city area is overflowing — no collection in days since the rain last week.,Sanitation Officer,Medium,4
We have noticed that street light is on during the day and off at night in Block C of the housing society — sensor malfunction.,Electrical Officer,Low,7
Litter basket cover broken at on 5th and Broadway — waste exposed to rain and pests for the last 4 days.,Sanitation Officer,Medium,5
